SOURCE_ID,RA,DEC,pmRA,pmDE,e_pmRA,e_pmDE,BTmag,e_BTmag,VTmag,e_VTmag,r,err_r,g,err_g,i,err_i,J,e_J,H,e_H,K,e_K,Qflg,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,proba,Teff,e_Teff,Lbol,e_Lbol
1432,55.02397962,26.19640068,24.1,-47.3,2.5,2.5,12.136,0.144,11.166,0.083,11.005,0.1,11.59,0.076,10.734,0.037,9.758,0.023,9.383,0.031,9.264,0.019,AAA,9.2,0.023,9.235,0.021,9.242,0.037,,,0.989482929358413,5250.0,125.0,0.6112404,0.111131735
1478,55.16051833,28.77162262,21.0,-39.7,2.0,1.9,7.999,0.018,7.844,0.014,,,,,,,7.567,0.03,7.543,0.053,7.489,0.027,AAA,7.437,0.061,7.495,0.028,7.499,0.026,7.265,0.187,0.53996180391846,8250.0,125.0,9.302406,1.5478951
1647,55.59998862,21.47349056,23.3,-48.4,0.9,0.9,10.453,0.036,9.83,0.03,9.679,0.1,10.333,0.087,9.588,0.036,8.797,0.021,8.604,0.029,8.526,0.019,AAA,8.463,0.023,8.498,0.02,8.468,0.024,7.851,0.175,0.991297873787373,6000.0,125.0,1.7517471,0.3082267
1661,55.62445291,20.14998603,19.4,-46.8,1.1,1.1,8.806,0.02,8.434,0.017,,,,,,,7.753,0.018,7.671,0.021,7.652,0.016,AAA,7.591,0.024,7.605,0.02,7.628,0.018,7.918,0.184,0.9982494864897,7250.0,125.0,5.6382008,0.9310235
1724,55.82929049,22.44923826,22.5,-45.6,2.4,2.6,13.165,0.369,11.754,0.181,11.21,0.1,11.993,0.01,10.867,0.043,9.639,0.02,9.16,0.019,9.026,0.02,AAA,8.965,0.023,8.989,0.02,9.006,0.034,,,0.838221155425073,4750.0,125.0,0.55138564,0.102826804
1756,55.89330503,23.76189679,20.2,-45.1,2.4,2.5,12.559,0.249,11.928,0.199,11.156,0.1,11.86,0.051,10.934,0.043,9.865,0.018,9.476,0.019,9.37,0.02,AAA,9.273,0.024,9.312,0.022,9.288,0.044,,,0.993757107856157,5000.0,125.0,0.48697913,0.09297803
1774,55.92305823,23.64915008,19.9,-44.1,1.0,1.0,8.328,0.017,7.961,0.012,8.815,0.024000000208616257,9.579,0.044,8.062,0.049,7.198,0.026,7.07,0.02,7.028,0.023,AAA,6.976,0.036,6.996,0.02,6.753,0.015,5.306,0.038,0.99096732353625,6750.0,125.0,9.507875,1.5596962
1780,55.93018643,24.37458077,18.0,-43.9,1.0,0.9,8.576,0.019,8.291,0.015,9.122,0.010999999940395355,9.778,0.069,8.477,0.058,7.692,0.039,7.61,0.055,7.561,0.018,AAA,7.531,0.026,7.551,0.021,7.139,0.017,5.751,0.044,0.99823177883982,7000.0,125.0,6.391722,1.0697806
1790,55.95169003,25.19006968,19.8,-45.0,1.8,1.9,11.966,0.135,10.875,0.078,10.57,0.1,11.303,0.014,10.36,0.05,9.326,0.021,8.962,0.03,8.827,0.018,AAA,8.752,0.023,8.807,0.019,8.758,0.031,,,0.93195085349861,5250.0,125.0,0.8736577,0.15522262
1824,56.0176546,24.98982166,16.6,-47.1,1.8,1.8,11.562,0.08,10.833,0.071,10.588,0.1,11.081,0.032,10.371,0.048,9.499,0.027,9.168,0.047,9.061,0.02,AAA,8.994,0.024,9.026,0.02,8.938,0.032,8.734,0.404,0.993234147121493,5500.0,125.0,0.8429633,0.1489159
